Opened	Name	City	Market
3/11/2021	162nd & South Park Ave	South Holland	Illinois\Cook
3/10/2021	10th & Sutherland Springs Rd.	Floresville	Texas\RemoteMarkets
3/10/2021	East Robinson @ Niagara Falls	Amherst	NewYork\Buffalo
3/9/2021	Red Arrow Hwy & I-94	Stevensville	Michigan\MichiganRemoteMarkets
3/8/2021	S Jefferson and Walnut	St. Louis	Missouri\StLouis
3/8/2021	Camino Canada & Los Coches	El Cajon	California\SanDiego
3/6/2021	Coney Island- Surf Ave & W 8th	Brooklyn	NewYork\Brooklyn
3/5/2021	Alhambra Ave & Blue Ridge Dr	Martinez	California\ContraCostaCounty
3/5/2021	I-85 & Hwy 20 (The Exchange)	Buford	Georgia\AtlantaSuburbs
3/4/2021	Artesia & Downey	Long Beach	California\SoutheastLosAngeles
3/3/2021	Artesia & Van Ness	Torrance	California\LosAngelesCountySouthBay
3/1/2021	Rt. 10 - Succasunna	Ledgewood	NewJersey\NorthJersey
3/1/2021	Natural Bridge & St Charles Ro	Bridgeton	Missouri\StLouisSuburbs
2/27/2021	Broadway & Walnut - Menomonie	Menomonie	Wisconsin\WisconsinRemoteMarkets
2/26/2021	Marlborough, South Bolton & Jo	Marlborough	Massachusetts\BostonSuburbs
2/26/2021	Memorial Dr & Palmetto Dr	Waycross	Georgia\GeorgiaRemoteMarkets
2/26/2021	Harden and Polk	Lakeland	Florida\Lakeland
2/26/2021	Elk Grove & Bruceville	Elk Grove	California\Sacramento
2/26/2021	Laurel Canyon & Erwin	North Hollywood	California\LosAngelesCounty
2/25/2021	Blue Diamond & Decatur	Las Vegas	Nevada\LasVegas
2/25/2021	Central & California	Glendale	California\SanFernandoValley
2/25/2021	Main & R Street	Merced	California\CentralValley
2/25/2021	I-30 & Chapel Creek	Fort Worth	Texas\FortWorth
2/22/2021	23rd & Robinson	Oklahoma City	Oklahoma\OklahomaCity
2/22/2021	5801 Amboy Rd	Staten Island	NewYork\StatenIsland
2/22/2021	I-35 & Cookingham	Kansas City	Missouri\KansasCity
2/20/2021	29S & Angus	Charlottesville	Virginia\Charlottesville
2/19/2021	Washington & 3rd - Brainerd	Brainerd	Minnesota\MinnesotaRemoteMarkets
2/19/2021	Cherry & Del Amo	Long Beach	California\SoutheastLosAngeles
2/18/2021	Hwy 81 and 36th - Columbus	Columbus	Nebraska\NebraskaRemoteMarkets
2/15/2021	N Wayne St & Meijer Dr	Angola	Indiana\IndianaRemoteMarkets
2/15/2021	86th and Ditch	Indianapolis	Indiana\Indianapolis
2/12/2021	Southern Tier Crossing	Horseheads	NewYork\SouthernTier
2/12/2021	North Ave. & 7th Ave. - Melros	Melrose Park	Illinois\Cook
2/12/2021	Grand & Kort - Rothschild	Rothschild	Wisconsin\WisconsinRemoteMarkets
2/11/2021	Olson & Zinfandel	Rancho Cordova	California\Sacramento
2/11/2021	Lake Park Ave & Walker	Oakland	California\AlamedaCounty
2/8/2021	NW Pryor Rd & Chipman	Lee`s Summit	Missouri\KansasCitySuburbs
2/8/2021	Hwy 105 & Lone Star	Montgomery	Texas\RemoteMarkets
2/5/2021	Mormon Coulee & Robinsdale	La Crosse	Wisconsin\WisconsinRemoteMarkets
2/5/2021	Cromwell Commons	Cromwell	Connecticut\Hartford
2/5/2021	Main & McLean	Elgin	Illinois\Cook
2/5/2021	Maricamp & SE 36th	Ocala	Florida\Gainesville
2/4/2021	Crater Lake Ave & McAndrews Rd	Medford	Oregon\SouthernOregon
2/4/2021	Clinton Keith Rd. & Warm Sprin	Murrieta	California\RiversideCounty
2/4/2021	I-95 & Cedar Creek Rd, Exit 49	Fayetteville	NorthCarolina\NorthCarolinaRemoteMarkets
1/30/2021	84th & Brentwood - La Vista	La Vista	Nebraska\Omaha
1/29/2021	31st St & Ditmars Blvd- Astori	Astoria	NewYork\Queens
1/28/2021	212 & 135th - Clackamas	Clackamas	Oregon\Portland
1/28/2021	Lakeland Hills Way - Lake Tapp	Auburn	Washington\Tacoma
1/25/2021	Somerset, GAR Hwy	Somerset	Massachusetts\SouthernMassachusetts
1/25/2021	US 24 & Rochester	Topeka	Kansas\KansasRemoteMarkets
1/23/2021	Leesburg Plaza	Leesburg	Virginia\NorthernVirginia
1/22/2021	US 93 & Eagle Lake	Whitefish	Montana
1/22/2021	A1A & S. Cooper	New Smyrna	Florida\DaytonaOrmond
1/22/2021	3228 Crompond Rd	Yorktown	NewYork\WestchesterCounty
1/22/2021	1975 Blvd Monseigneur-Langlois	Salaberry-de-Valleyfield	Quebec\Montreal
1/21/2021	Livingstone Corner	Abbotsford	BritishColumbia\Vancouver
1/21/2021	Jackson & Murieta	Rancho Murieta	California\Sacramento
1/21/2021	Fulton & Marconi	Sacramento	California\Sacramento
1/21/2021	El Dorado Hills & Hwy 50	EL Dorado Hills	California\Sacramento
1/21/2021	Fruitridge & Stockton	Sacramento	California\Sacramento
1/19/2021	Morgantown, Heritage Drive	Elverson	Pennsylvania\Reading
1/18/2021	N State St & Polaris Woods Blv	Westerville	Ohio\Columbus
1/18/2021	Rt 291 & 150	Lee`s Summit	Missouri\KansasCitySuburbs
1/18/2021	Plano Road & Belt Line Road	Richardson	Texas\DallasSuburbs
1/18/2021	287 & Avondale Haslet	Haslet	Texas\FortWorthSuburbs
1/18/2021	Hwy 62 & Cherokee Springs Tahl	Tahlequah	Oklahoma\OklahomaRemoteMarkets
1/16/2021	Silverdale Crossing	Mission	BritishColumbia\Vancouver
1/15/2021	Winchester and Simcoe	Oshawa	Ontario\GreaterTorontoArea
1/15/2021	74E & Grove, Shelby	Shelby	NorthCarolina\NorthCarolinaRemoteMarkets
1/15/2021	641 Harding St West	Saint John	NewBrunswick
1/15/2021	Christiansburg Marketplace	Christiansburg	Virginia\RoanokeLynchburg
1/15/2021	Bull Street and Freed Street	Columbia	SouthCarolina\Columbia
1/15/2021	Green Valley Ranch and Walden	Denver	Colorado\Denver
1/14/2021	Rochester - N. Broadway & Silv	Rochester	Minnesota\RochesterMN
1/14/2021	Fourth Ave. & First St.	St. Catharines	Ontario\NiagaraRegion
1/11/2021	Tiffin & Bright	Findlay	Ohio\OhioRemoteMarkets
1/11/2021	Penn Mar	Forestville	Maryland\WashingtonDCArea
1/11/2021	I-35 & Rendon Crowley	Burleson	Texas\FortWorthSuburbs
1/9/2021	PCH & Dana Point Harbor	Dana Point	California\OrangeCounty
1/8/2021	Orchard Park, Hwy 20	Orchard Park	NewYork\Buffalo
1/8/2021	147th Ave & Bird Rd	Miami	Florida\Miami
1/7/2021	Hwy 60 & Frederick	Moreno Valley	California\RiversideCounty
1/4/2021	Pickup - King St & Alakea	Honolulu	Hawaii\Oahu
1/4/2021	US-10 & US-31	Ludington	Michigan\MichiganRemoteMarkets
1/4/2021	Gallatin and Sharpe	Nashville	Tennessee\Nashville
1/2/2021	Moorpark & Brazil	Thousand Oaks	California\Ventura
1/2/2021	Saginaw & Barbara	Lansing	Michigan\Lansing
1/1/2021	Moynihan Train Station- 8th Av	New York	NewYork\NewYorkCity
12/31/2020	Kentlands Square	Gaithersburg	Maryland\WashingtonDCArea
12/28/2020	Signal Mountain Shopping Cente	Chattanooga	Tennessee\Chattanooga
12/28/2020	Queens Blvd & 71st Ave	Forest Hills	NewYork\Queens
12/28/2020	31st & Halsted	Chicago	Illinois\Chicago
12/26/2020	I-10 & Haven	Ontario	California\SanBernardinoCounty
12/23/2020	Blackstone & Herndon	Fresno	California\CentralValley
12/21/2020	1725 Richmond Street	London	Ontario\LondonON
12/21/2020	I-10 and Hwy 73	Prairieville	Louisiana\BatonRouge
12/20/2020	25th Street and 2nd Avenue	Saskatoon	Saskatchewan
12/19/2020	3201 RT 35 - Hazlet	Hazlet	NewJersey\SouthJersey
12/18/2020	Rutherford Crossing_Market Str	Winchester	Virginia\VirginiaRemoteMarkets
12/18/2020	Shallotte	Shallotte	NorthCarolina\NorthCarolinaRemoteMarkets
12/18/2020	Blanco & Lockhill Selma	San Antonio	Texas\SanAntonio
12/17/2020	Shaw & Leonard	Clovis	California\CentralValley
12/17/2020	897 Niagara Street	Welland	Ontario\NiagaraRegion
12/17/2020	Magnolia & Rimpau	Corona	California\RiversideCounty
12/17/2020	Lake Murray Blvd & St. Andrews	Irmo	SouthCarolina\Columbia
12/16/2020	Ontario Ranch & Haven	Ontario	California\SanBernardinoCounty
12/16/2020	Limonite & Archibald	Eastvale	California\RiversideCounty
12/14/2020	US-131 & Millard	Three Rivers	Michigan\MichiganRemoteMarkets
12/14/2020	Calle Los Cerros & Baseline Rd	Tempe	Arizona\Phoenix
12/14/2020	103 Reisterstown Rd	Pikesville	Maryland\Baltimore
12/14/2020	Illinois & Thomas	Fort Wayne	Indiana\FortWayne
12/14/2020	GA 400 & McFarland Pkwy	Alpharetta	Georgia\AtlantaSuburbs
12/13/2020	Bees Ferry Rd & Grand Oaks Blv	Charleston	SouthCarolina\Charleston
12/11/2020	Redwood Rd & 41st S	West Valley City	Utah
12/11/2020	Val Vista & Elliot	Gilbert	Arizona\Phoenix
12/11/2020	Wetaskiwin	Wetaskiwin	Alberta\AlbertaRemoteMarkets
12/11/2020	34th & Cicero	Cicero	Illinois\Cook
12/11/2020	Chester & China Grade Loop	Bakersfield	California\KernCounty
12/11/2020	East Cumberland & Simpson, Ext	Dunn	NorthCarolina\NorthCarolinaRemoteMarkets
12/10/2020	Olive & Lower Wyandotte	Oroville	California\NorthernCalifornia
12/5/2020	Midland Park Drive Thru	Midland Park	NewJersey\NorthJersey
12/4/2020	NE 26th St & NE 16th Ave	Wilton Manors	Florida\BrowardCounty
12/4/2020	NC 211 & Main St	Pinehurst	NorthCarolina\NorthCarolinaRemoteMarkets
12/4/2020	Waynesboro Shopping Center	Waynesboro	Pennsylvania\PennsylvaniaRemoteMarkets
12/4/2020	Wards Crossing	Lynchburg	Virginia\RoanokeLynchburg
12/4/2020	Fort Greene Pl & Hanson Pl	Brooklyn	NewYork\Brooklyn
12/3/2020	SR 9 & 204th St	Arlington	Washington\Seattle
12/3/2020	Aut 20 & Ch Herron	Dorval	Quebec\Montreal
12/3/2020	2003 S. Main Street, Farmville	Farmville	Virginia\VirginiaRemoteMarkets
12/3/2020	Jefferson & Overland Ave	Culver City	California\WestLosAngeles
11/27/2020	Baldwin Park & Ramona	Baldwin Park	California\SanGabrielValley
11/25/2020	Ramsey & Marie - CDA	Coeur D`Alene	Idaho\NorthernIdaho
11/24/2020	3405 Halls Ferry Road	Vicksburg	Mississippi\MississippiRemoteMarkets
11/24/2020	I-10 & Rangeline	Mobile	Alabama\Mobile
11/23/2020	N. Zaragoza & Edgemere Blvd.	El Paso	Texas\ElPaso
11/23/2020	Circleville - S Ct St & E Circ	Circleville	Ohio\OhioRemoteMarkets
11/23/2020	161 & Spring Mill	Westfield	Indiana\Indianapolis
11/23/2020	Harding Hwy & Mt Holyoke Ave	Lima	Ohio\OhioRemoteMarkets
11/23/2020	Glenmore Rd. & Yates Rd.	Kelowna	BritishColumbia\EasternBritishColumbia
11/23/2020	Eisenhower Rd & 4th St	Leavenworth	Kansas\KansasCityKansasSuburbs
11/20/2020	4800 Blvd Industriel	Sherbrooke	Quebec\QuebecRemoteMarkets
11/20/2020	Hudson, NH 3A	Hudson	NewHampshire
11/20/2020	Marietta	Marietta	Ohio\OhioRemoteMarkets
11/19/2020	Princess Anne & Landstown Cent	Virginia Beach	Virginia\ChesapeakeBayRegion
11/17/2020	Riverside & Hwy 1	Watsonville	California\CentralCoast
11/16/2020	Merriman & Wickham	Romulus	Michigan\DetroitSuburbs
11/16/2020	Big Spring & Loop 250	Midland	Texas\MidlandOdessa
11/16/2020	Cypress & Broadway	North Little Rock	Arkansas
11/14/2020	Pearl Road Strongsville	Strongsville	Ohio\Cleveland
11/12/2020	1796 Stone Church Road East	Hamilton	Ontario\HamiltonRegion
11/12/2020	1st & Kelton	Gilroy	California\SantaClaraCounty
11/11/2020	82nd & Quanah	Lawton	Oklahoma\OklahomaRemoteMarkets
11/9/2020	118th & Quaker	Lubbock	Texas\Lubbock
11/6/2020	Northampton, King St.	Northampton	Massachusetts\WesternMassachusetts
11/6/2020	72 Dundas Street East	Paris	Ontario\OntarioRemoteMarkets
11/6/2020	64E & Staples Mill, Libbie Mil	Richmond	Virginia\Richmond
11/3/2020	82nd & Zadar	Lubbock	Texas\Lubbock
11/2/2020	Old Troy Pike & Huber Rd	Huber Heights	Ohio\Dayton
11/2/2020	Steelyard Commons	Cleveland	Ohio\Cleveland
10/30/2020	The Avenue Peachtree City	Peachtree City	Georgia\AtlantaSuburbs
10/30/2020	Summersville	Summersville	WestVirginia
10/30/2020	Central Park and Montview	Denver	Colorado\Denver
10/30/2020	I-40 and Sterling	Morganton	NorthCarolina\NorthCarolinaRemoteMarkets
10/29/2020	MacArthur Dr. & Elliott St.	Alexandria	Louisiana\LouisianaRemoteMarkets
10/29/2020	Hwy 101 - Coos Bay	Coos Bay	Oregon\OregonCoast
10/26/2020	US Hwy 192 & Westover Dr	West Melbourne	Florida\SpaceCoast
10/26/2020	Southwest Pkwy & Greenbriar	Wichita Falls	Texas\RemoteMarkets
10/26/2020	Yard 56 Eastern Ave	Baltimore	Maryland\Baltimore
10/26/2020	Governors & Turner	Huntsville	Alabama\Huntsville
10/24/2020	Woolbright Rd & US 1	Boynton Beach	Florida\PalmBeachCounty
10/24/2020	1st & 14th - Cedar Rapids	Cedar Rapids	Iowa
10/23/2020	W Georgia Rd & Standing Spring	Simpsonville	SouthCarolina\Greenville
10/23/2020	Capitol & Snell	San Jose	California\SantaClaraCounty
10/23/2020	I-26 and Hwy 601	Orangeburg	SouthCarolina\SouthCarolinaRemoteMarkets
10/19/2020	Bayonne Harbour Points	Bayonne	NewJersey\NorthJersey
10/19/2020	I40 & Sooner	Del City	Oklahoma\OklahomaCity
10/16/2020	SkyView Center - Flushing	Flushing	NewYork\Queens
10/16/2020	Medford North	Medford	NewJersey\SouthJersey
10/16/2020	127 Conception Bay Highway	Conception Bay South	NewfoundLand
10/15/2020	Pelandale Ave & Chapman Road	Modesto	California\ModestoStockton
10/15/2020	Columbia & Canal	Kennewick	Washington\SoutheasternWashington
10/15/2020	Auburn, Grant Ave	Auburn	NewYork\NewYorkRemoteMarkets
10/12/2020	Lake George Outlets	Lake George	NewYork\NewYorkRemoteMarkets
10/10/2020	Raeford & Strickland	Fayetteville	NorthCarolina\NorthCarolinaRemoteMarkets
10/9/2020	Penfield, Baytowne Plaza	Webster	NewYork\Rochester
10/9/2020	Sunset Dr & 117th Ave	Miami	Florida\Miami
10/6/2020	US 64 & W Williams St	Apex	NorthCarolina\RaleighDurhamChapelHill
10/5/2020	Hwy 380 & FM 423	Frisco	Texas\DallasSuburbs
10/2/2020	Philadelphia & Grove	Ontario	California\SanBernardinoCounty
10/2/2020	Okeechobee Blvd & Skees	West Palm Beach	Florida\PalmBeachCounty
10/2/2020	Bill Gardner Parkway & I-75	Locust Grove	Georgia\GeorgiaRemoteMarkets
10/2/2020	Hwy 50 and Fern Creek	Orlando	Florida\Orlando
10/1/2020	Sanderson & Thornton	Hemet	California\RiversideCounty
9/28/2020	Scappoose	Scappoose	Oregon\OregonRemoteMarkets
9/28/2020	Sidney Baker and Veterans Hwy	Kerrville	Texas\RemoteMarkets
9/28/2020	SR 20 & SE Pioneer Wy - Oak Ha	Oak Harbor	Washington\Bellingham
9/28/2020	Columbia Gorge Outlets	Troutdale	Oregon\Portland
9/28/2020	635 & Josey	Dallas	Texas\Dallas
9/28/2020	30th and Grand	Ames	Iowa
9/27/2020	Churn Creek & I-5	Redding	California\NorthernCalifornia
9/26/2020	Riverdale Rd and 3rd W	Riverdale	Utah
9/26/2020	Sunset & Alta Loma	Los Angeles	California\LosAngeles
9/26/2020	West 7th Street and Davern	Saint Paul	Minnesota\Minneapolis
9/26/2020	Leduc West	Leduc	Alberta\Edmonton
9/26/2020	Garibaldi Way and Sea to Sky H	Squamish	BritishColumbia\Vancouver
9/25/2020	Tatum & Cave Creek	Cave Creek,	Arizona\Phoenix
9/25/2020	Scottsdale & Mayo	Phoenix	Arizona\Phoenix
9/25/2020	Sepulveda & Palms	Los Angeles	California\LosAngeles
9/25/2020	Transit and Maple Roads	Williamsville	NewYork\Buffalo
9/25/2020	Platte and Murray	Colorado Springs	Colorado\ColoradoSprings
9/25/2020	Stapley Drive & The 60	Mesa	Arizona\Phoenix
9/25/2020	Menaul and Carlisle	Albuquerque	NewMexico\Albuquerque
9/25/2020	82nd St & Roosevelt Ave	Jackson Heights	NewYork\Queens
9/25/2020	334 Dundas Street East	Mississauga	Ontario\PeelRegion
9/25/2020	Clarksville	Clarksville	Maryland\Baltimore
9/25/2020	Campus Park & Collins	Moorpark	California\Ventura
9/25/2020	4055 Carling Ave	Kanata	Ontario\Ottawa
9/25/2020	72nd and Military	Omaha	Nebraska\Omaha
9/25/2020	63rd & Cass	Westmont	Illinois\DuPage
9/25/2020	I-95 and Highway 6	Santee	SouthCarolina\SouthCarolinaRemoteMarkets
9/25/2020	Loop 303 & Bell	Surprise	Arizona\Phoenix
9/25/2020	Gibson and Mulberry	Albuquerque	NewMexico\Albuquerque
9/25/2020	E. Henrietta and Calkins	Henrietta	NewYork\Rochester
9/25/2020	Glenville, Saratoga Road	Glenville	NewYork\Albany
9/24/2020	Saukville - I-43 & Green Bay	Saukville	Wisconsin\Milwaukee
9/24/2020	Route 173 & Deep Lake Rd - Ant	Antioch	Illinois\Lake
9/24/2020	Southfort	Fort Saskatchewan	Alberta\Edmonton
9/24/2020	Namao Centre	Edmonton	Alberta\Edmonton
9/24/2020	2401 Aramingo Ave., Port Richm	Philadelphia	Pennsylvania\Philadelphia
9/24/2020	524 Oxford Street West	London	Ontario\LondonON
9/24/2020	Dempster & Waukegan	Morton Grove	Illinois\Cook
9/24/2020	Foothill & Arroyo	Sylmar	California\SanFernandoValley
9/24/2020	Harlem & Ogden	Berwyn	Illinois\Cook
9/21/2020	Rocky Point-25A	Rocky Point	NewYork\LongIsland
9/21/2020	Knoxville Ave & I-74	Peoria	Illinois\Peoria
9/19/2020	I-35 and Broadway - Forest Lak	Forest Lake	Minnesota\MinneapolisSuburbs
9/18/2020	S Airport & US-31	Traverse City	Michigan\MichiganRemoteMarkets
9/18/2020	St. Nicholas btwn W. 125th & 1	New York	NewYork\NewYorkCity
9/18/2020	Ansonia, Pershing Drive	Derby	Connecticut\SouthernConnecticut
9/18/2020	Colchester - Lower Mountain Vi	Colchester	Vermont
9/18/2020	25th and E. Sunnyside	Ammon	Idaho\IdahoRemoteMarkets
9/18/2020	Man O War & Polo Club Blvd	Lexington	Kentucky\Lexington
9/17/2020	South High St	Columbus	Ohio\Columbus
9/17/2020	Vandalia & Jaye	Porterville	California\CentralValley
9/15/2020	Sheppard Avenue & Weston Road	Toronto	Ontario\Toronto
9/15/2020	I-74 & SR-3	Greensburg	Indiana\IndianaRemoteMarkets
9/14/2020	Dutchmans Pkwy & Breckenridge	Louisville	Kentucky\Louisville
9/14/2020	I-29 and Armour Rd	North Kansas City	Missouri\KansasCitySuburbs
9/11/2020	Victoria Terrace	Toronto	Ontario\Toronto
9/11/2020	Blue Hills and Orange Ave	Roanoke	Virginia\RoanokeLynchburg
9/10/2020	Pioneer Parkway - Springfield	Springfield	Oregon\WestCentralOregon
9/10/2020	Friars Mission Center	San Diego	California\SanDiego
9/9/2020	1300 South White Sands Blvd.	Alamogordo	NewMexico\NewMexicoRemoteMarkets
9/7/2020	Lonnie Abbott Blvd	Ada	Oklahoma\OklahomaRemoteMarkets
9/4/2020	Trumbull, White Plains Rd	Trumbull	Connecticut\SouthernConnecticut
9/4/2020	Piedmont Hospital at Peachtree	Atlanta	Georgia\Atlanta
9/4/2020	Winding Hill, Mechanicsburg	Mechanicsburg	Pennsylvania\Harrisburg
9/3/2020	Central Ave & Hwy 167	Kent	Washington\Tacoma
9/3/2020	63 Robie Street	Truro	NovaScotia
9/3/2020	150th Ave and SE 38th St.	Bellevue	Washington\Seattle
9/3/2020	Alameda & Century	Los Angeles	California\LosAngeles
9/3/2020	Fair Oaks & Mission	Pasadena	California\Verdugos
8/31/2020	7th St & Katy Ave	Bay City	Texas\RemoteMarkets
8/31/2020	Driftwood Mall	Courtenay	BritishColumbia\VancouverIsland
8/31/2020	Hwy 67 & Main	Duncanville	Texas\DallasSuburbs
8/29/2020	Main St & Ross Ln - Medford	Medford	Oregon\SouthernOregon
8/28/2020	Redwood Blvd & De Long Ave	Novato	California\MarinCounty
8/28/2020	Tiedeman Rd Brooklyn	Brooklyn	Ohio\Cleveland
8/28/2020	South Parkersburg	Parkersburg	WestVirginia
8/28/2020	NE 117th Ave & NE 99th St	Vancouver	Washington\SouthwesternWashington
8/28/2020	41st and Covell	Sioux Falls	SouthDakota
8/28/2020	A1A & Michigan Ave	Indialantic	Florida\SpaceCoast
8/28/2020	444 Broadway	New York	NewYork\NewYorkCity
8/28/2020	Kingston, Market St	Kingston	Pennsylvania\PennsylvaniaRemoteMarkets
8/28/2020	Doctors Inlet Rd & E. West Pkw	Fleming Island	Florida\Jacksonville
8/28/2020	I-77 and Carowinds	Fort Mill	SouthCarolina\GreaterCharlotte
8/28/2020	Hwy 120 & Hurricane Shoals	Lawrenceville	Georgia\AtlantaSuburbs
8/28/2020	Fairview and Steelwood	Boise	Idaho\Boise
8/27/2020	Palm and Dennery	San Diego	California\SanDiego
8/27/2020	White City	White City	Oregon\SouthernOregon
8/27/2020	537 Norwich Avenue	Woodstock	Ontario\GreaterTorontoArea
8/27/2020	Layton & Loomis	Greenfield	Wisconsin\Milwaukee
8/24/2020	St. Rose Pkwy & St Rose Square	Henderson	Nevada\LasVegas
8/24/2020	Ridge Park Square Brooklyn	Brooklyn	Ohio\Cleveland
8/22/2020	Hwy 99 & Betty Drive	Visalia	California\CentralValley
8/21/2020	Rt 1 N, Cosner`s Corner	Fredericksburg	Virginia\Fredericksburg
8/21/2020	I-85 and Highway 161	Kings Mountain	NorthCarolina\NorthCarolinaRemoteMarkets
8/20/2020	Mercey Springs & Overland	Los Banos	California\CentralValley
8/20/2020	Yonge & Ransom	Aurora	Ontario\GreaterTorontoArea
8/20/2020	Canterbury Village - Sudley Ro	Manassas	Virginia\NorthernVirginia
8/17/2020	Hwy 59 & FM 1485	New Caney	Texas\HoustonSuburbs
8/17/2020	I-30 & Erby Campbell Blvd	Royse City	Texas\DallasSuburbs
8/14/2020	Platt Springs Rd & S Lake Dr	Lexington	SouthCarolina\Columbia
8/14/2020	Hwy 7 & Sheridan Pkwy	Broomfield	Colorado\Denver
8/13/2020	Washington & Gartner	Naperville	Illinois\DuPage
8/13/2020	Azusa & Main	La Puente	California\SanGabrielValley
8/13/2020	Carpenter & Cummins	Modesto	California\ModestoStockton
8/13/2020	15 Mile & Utica	Fraser	Michigan\DetroitSuburbs
8/13/2020	Irving Park & Addison	Wood Dale	Illinois\DuPage
8/13/2020	Hwy 178 & Comanche	Bakersfield	California\KernCounty
8/13/2020	Foster & Edens	Chicago	Illinois\Chicago
8/10/2020	114 & Davis Blvd	Westlake	Texas\FortWorthSuburbs
8/8/2020	Hwy 17 Bypass & Palmetto Point	Myrtle Beach	SouthCarolina\MyrtleBeach
8/7/2020	Bardsley & Mooney	Tulare	California\CentralValley
8/6/2020	Station Drive - DuPont	DuPont	Washington\Olympia
8/6/2020	Vermilion & Boiling Springs	Danville	Illinois\IllinoisRemoteMarkets
8/5/2020	1405 Upper James & Stone Churc	Hamilton	Ontario\HamiltonRegion
8/4/2020	C St & Civic	Galt	California\Sacramento
8/3/2020	N 12th & Arcadia	Murray	Kentucky\KentuckyRemoteMarkets
7/31/2020	Beach Blvd and St Johns Bluff	Jacksonville	Florida\Jacksonville
7/31/2020	Baymeadows Rd & I-95	Jacksonville	Florida\Jacksonville
7/31/2020	Iron Bridge & Lori	Chesterfield	Virginia\Richmond
7/30/2020	Santa Margarita Pkwy & Antonio	Rancho Santa Margarita	California\OrangeCounty
7/30/2020	Villanova & Ventura	Ojai	California\Ventura
7/30/2020	Ashbrook Marketplace	Ashburn	Virginia\NorthernVirginia
7/30/2020	6030 Main Street	Milton	Ontario\GreaterTorontoArea
7/30/2020	Macleod & 53 Avenue SE	Calgary	Alberta\Calgary
7/27/2020	Warwick, Greenwich Ave	Warwick	RhodeIsland
7/27/2020	135th & Metcalf Ave	Overland Park	Kansas\KansasCityKansasSuburbs
7/27/2020	Hwy 59 and Northpark	Kingwood	Texas\HoustonSuburbs
7/25/2020	Chantilly & Ryan Rd	Montgomery	Alabama\Montgomery
7/24/2020	Middletown, Rt. 211 East	Middletown	NewYork\NewYorkRemoteMarkets
7/24/2020	San Jose Blvd & Oak Leaf Ln	Jacksonville	Florida\Jacksonville
7/24/2020	4th and Westfield St	Hartsville	SouthCarolina\SouthCarolinaRemoteMarkets
7/24/2020	I 10 & UTSA	San Antonio	Texas\SanAntonio
7/24/2020	Maguire & Russell	Warrensburg	Missouri\MissouriRemoteMarkets
7/23/2020	Oak Park & Branch	Arroyo Grande	California\CentralCoast
7/23/2020	123rd and Lone Peak	Draper	Utah
7/23/2020	869 Queen Street East	Toronto	Ontario\Toronto
7/23/2020	2720 Dekalb Pike - East Norrit	East Norriton	Pennsylvania\PhiladelphiaSuburbs
7/22/2020	SPID & Aquarius	Corpus Christi	Texas\SouthTexas
7/20/2020	US-75 & Stacy Rd	Allen	Texas\DallasSuburbs
7/20/2020	Fillmore and Wood	Colorado Springs	Colorado\ColoradoSprings
7/17/2020	Springfield, Boston Rd	Springfield	Massachusetts\WesternMassachusetts
7/17/2020	The Loop, Methuen	Methuen	Massachusetts\BostonSuburbs
7/17/2020	Youngstown, Belmont Ave	Youngstown	Ohio\Youngstown
7/17/2020	144th and Washington	Thornton	Colorado\Denver
7/17/2020	Buncombe and Echols	Greenville	SouthCarolina\Greenville
7/17/2020	E. Alexander & James L Redman	Plant City	Florida\FloridaRemoteMarkets
7/16/2020	4th Ave & 16th St	Yuma	Arizona\Yuma
7/14/2020	Hwy 71 & Peach Orchard	Bentonville	Arkansas
7/13/2020	Boat Club & Robertson	Fort Worth	Texas\FortWorth
7/13/2020	County Line & Emerson	Indianapolis	Indiana\Indianapolis
7/13/2020	Foxboro, Patriot Place	Foxborough	Massachusetts\BostonSuburbs
7/13/2020	I-10 & Hwy 87	Orange	Texas\RemoteMarkets
7/9/2020	1914 Bank Street	Ottawa	Ontario\Ottawa
7/9/2020	Hwy 18 & Kasota	Apple Valley	California\SanBernardinoCounty
7/9/2020	Eureka & Stuart	Redlands	California\SanBernardinoCounty
7/6/2020	Nolensville and Old Hickory	Nashville	Tennessee\Nashville
7/3/2020	Whitehall, MacArthur Road	Whitehall	Pennsylvania\Allentown
7/3/2020	105 Caradoc Street South	Strathroy	Ontario\OntarioRemoteMarkets
7/3/2020	Hull & Mockingbird, Swift Cree	Midlothian	Virginia\Richmond
7/2/2020	10 Spring Hill Drive	King City	Ontario\GreaterTorontoArea
7/2/2020	Downtown Yakima	Yakima	Washington\CentralWashington
6/29/2020	Smokey Park Hwy and I-40	Asheville	NorthCarolina\Asheville
6/26/2020	Vasquez and 60th	Commerce City	Colorado\Denver
6/26/2020	Bridle Trails	Kirkland	Washington\Seattle
6/26/2020	300 Simpson Dr, Eagle PA	Chester Springs	Pennsylvania\PhiladelphiaSuburbs
6/25/2020	Central & Dexter	Lake Elsinore	California\RiversideCounty
6/23/2020	10th Street & I-65	Jeffersonville	Indiana\GreaterLouisville
6/22/2020	Coulter & Pennsylvania	Amarillo	Texas\Amarillo
6/19/2020	I-95 & Radford	Dillon	SouthCarolina\SouthCarolinaRemoteMarkets
6/19/2020	Hwy 86 & Eubanks Rd, Exit 266	Chapel Hill	NorthCarolina\RaleighDurhamChapelHill
6/18/2020	Steinbach Drive Thru	Steinbach	Manitoba
